ID,Q19,Q19_ENG,Q19_CAT
1,"No, creo que es poco tiempo",No I think its a small amount of time,No
2,no se invierte mucho tiempo,Do not invest a lot of time,No
3,no le molesa ,It does not bother her,Other
4,"No, xq toda la vida ha vivido asi. y esta consiente de que eso va a empeorar o seguir pasando ","No because she has lived like this, and she is aware that it is going to get worse or keep happening",No
5,siente que no le dedica mucho tiempo,Feels that she does not spend much time on it,No
6,mas del q le gustaria ,More than they would like,Yes
7,si ,Yes,Yes
8,no ,No ,No
9,medio- no es tanto tiempo. si tuberia filtro o bamba ,Medium - It is not a lot of time if the pipe is a filter or bamba,Somewhat
10,no,No,No
11,no es mucho tiempo,It is not a lot of time,No
12,no,No,No
13,"no, es poco (3 horas)",It is small (3 hours),No
14,creo que invertimos mas o menos de tiempo,I think we invest more or less time,Somewhat
15,no creo que no,I don't think so no,No
16,si se invierte mucho tiempo,Yes a lot of time is invested,Yes
17,"si es mucho tiempo, si podria  invertir el tiempo en otras cosas ","Yes it's a lot of time, yes I could spend time in other things",Yes
18,no,No,No
19,se acostumbras  ,She is used to it,Other
20,"si, se invierte mas tiempo del que nos gustaria","Yes, it takes more than than we would like",Yes
21,no,No,No
22,esta bien,It's okay ,No
23,"es mucho tiempo, porque es tiempo que podria usar en otras actividades domesticas o en el cuidado de mis hijos","It's a lot of time, because it's time that I could use on other domestic activities or taking care of my kids.",Yes
24,es mas del que nos gustaria invertir porque no es suficiente. no podemos trabajar en otras cosas ,It's more than we would like to spend because there is not enough. We cannot work on other things,Yes
25,"considero que es poco tiempo, porque podria invertir mas tiempo en lavar tinaco o cisterna ","I consider it a short amount of time, because I could spend more time washing the tank or cistern.  ",No
26,"mucho tiempo, porque ","A lot of time, because ",Yes
27,no es mucho tiempo,It is not a lot of time,No
28,no es poco tiempo,It is not a small amount of time,Yes
29,si llega de la cisterna y tiene que prender la bomba y dejar que se asiente porque sale sucia ,Yes it comes from the cistern and she has to turn on the pump and leave it to settle because it comes out dirty,Yes
30,si considera que invierte mucho tiempo,Yes considering that spend a lot of time,Yes
31,no considera que invierta mucho tiempo. pero le gustaria no tener que hacerlo,"She does not think she spends a lot of time, and  she would like to not have to ",No
32,si. cuando lavan la ropa tiene que estar sacando el agua con cubetas y para lavar y enjugar la lavadora.,Yes. When they wash clothes they have to take out the water with buckets and  rinse the washing machine,Yes
33,le gustaria poder invertir mas tiempo para poder ahorrar y cuidar el agua,Would like to be able to spend more time to be able to save and take care the water,Yes
34,no,No,No
35,normal,normal,Somewhat
36,no,No,No
37,much tiempo,A lot of time ,Yes
38,esta bien. no es conflicto ,It's okay. It is not a conflict,No
39,es mas del que me gustaria que fuera ,It's more than I would like it to be.,Yes
40,es mas tiempo de que me gustaria invertir ,It's more time than I would like to invest,Yes
41,no,No,No
42,no,no,No
43,mucho tiempo ,A lot of time,Yes
44,no ,no ,No
45,no considera que se invierta mucho tiempo. no es mucho tiempo pero si es molesto hacierlo,She does not consider that it takes a lot of time. It is not a lot of time but it is annoying to do,No
46,si porque tiene que apartar el agua y cuidar a su hija se le complica mucho,"Yes, because she has to separate the water and take care of her daughter",Yes
47,no,no,No
48,No,No,No
49,No,No,No
50,No,No,No
51,No,No,No
52,"Si, depende de la presion de agua, cuando hay poca presion tarda mas tiempa","Yes, it depends on the water pressure, when there is low pressure it takes longer",Yes
53,Mucho,A lot,Yes
54,Alcanza a llenarse todo. Le parece bien (20 min x dia),It's enough t9o fill everything. It seems okay. (20 mins per day) ,No
55,Es mucho  ,It's a lot  ,Yes
56,Esta bien,It's okay,No
57,Esta bien. No es mucho,It's okay. It's not a lot,No
58,"No, normal","No, normal",Somewhat
59,Esta bien. No le quita tiempo. todo solita,It's okay. It doesn't take up her time. All by herself,No
60,Esta bien,It's okay,No
61,Esta bien,It's okay,No
62,"Si, porque hay que estar al pendiente poco, planar les actividades","Yes, because you have to be on the lookout  Somewhat and plan the activities",Yes
63,"No, es suficiente","No, it's enough",No
64,"No, porque es en bien tiempo y se aprecher por las quehaceres, alm(?)","No, because it is in good time and Im worried about the chores",No
65,Mas del que les gustaria porque hay que esta siempre el pendiente,More than she would like because she always has to be on the lookout,Yes
66,"Es mas del que le gustaria, porque no se deberia dedicar todo tiempo satisfacer este necesidad","Its more than she would like, because shouldn't spend all of her time satisfying this necessity",Yes
67,"Es mas de lo que me gustaria invertir, porque tengo que cerrar mi no (?) ir a almacenar ayer","It's more time than I would like to invest, because ",Yes
68,"Considero que es el normal, no me incomoda","I consider it to be normal, it doesn't bother me",Somewhat
69,Es mucho tiempo  ,It's a lot ,Yes
70,Si es mas del que me gustaria investir porque tenemos mucho quehacer,Yes its more than I would like to invest because we have a lot of chores,Yes
71,No,No,No
72,"No, debido a que (?) fluja constante","No, because of constant flow",No
73,No esta bien,"No, its okay",No
74,"Si, mucho","Yes, a lot",Yes
75,No,No,No
76,No,No,No
77,"No es mucho, esta bien","It's not a lot, it's okay",No
78,"No, porque si hay suficiente",No because there is enough,No
79,"No, porque como el suminutio es todo el dia no es necesario investir mucho tiempo","No, because since the supply is all day long, it is not necessary to invest a lot of time",No
80,Esta bien. Luego invierten en otras cosa menos importante,It's okay. Then they invest in other less important things,No
81,No,No,No
82,Esta bien,It's okay,No
83,Mas del que le gustaria. Llenar tambor -> mucho tiempo,More than she would like ,Yes
84,"Si, es mucho. Estaria bien si fuera 2 horas x semana","Yes, its a lot. It would be okay if it were 2 hours per day ",Yes
85,Esta bien,It's okay,No
86,Si porque no tienen la economia suficiente para comprar cisterna  o tinoco y tener en donde almacenerlo,"Yes, because they do not have enough money to buy a cistern or tank and have somewhere to store it",Yes
87,"Si, le gustaria que fuera menos tiempo para poder realizar (?) actividades","Yes, she would like it to be less time so she can  do activities",Yes
88,"Si, porque a veces no hay gente en casa y puede que qulen este no este tan al pendiente","Yes, because sometimes there are no people at home and they may not be so attentive ",Yes
89,No,No,No
90,No le gustaria invertir mas tiempo pero debido a las (?) no es posible,"Wouldnt like to invest more time, but due to (?) it is not possible",Yes
91,"No, porque yo se acostumbren a hacerlo",No because I get used to doing it,Other
92,"No, considera que es suficiente",No she considers it enough,No
93,"No, esta bien, porque como se menciono arriba es el tiempo que les llena realizar sus actividades","No, it's okay, because as she mentioned above it is the time they spend doing their activities",No
94,Esta bien,It's okay,No
95,"Si, porque hay (?) en donde se tiene que hacer  madrugada","Yes, because here are _ where you have to do it in the early morning",Yes
96,Esta bien,It's okay,No
97,Esta bien,It's okay,No
98,Esta bien,It's okay,No
99,"No, porque para todos lo cosas hay que dedicale tiempo y este es el que la domilis se tende pero aprender el agua",No because for all things you have to dedicate time,No
100,Poco,A little,Somewhat
101,Considera que es poca tiempo debido a que se organizar para (?),Consider that it is a small amount of time because it is organized,No
102,Le gustaria que menos porque es (?) llenar y almacena agua y ademas podria usa el tiempo en otra actividades,Would like it to be less time because it is __ filling and storing water and you could spend time on other activities ,Yes
103,"Mas o menos, le gustaria que fuera menos tiempo","More or less, would like it to be less time",Yes
104,"Ese tiempo es bien, parcen se pueden hacer mas actividades","That time is good, it seems we could do more activities",Somewhat
105,No,No,No
106,"Si, porque si llegara con piesion suficiente, ya no tendria que llenar las cubetas","Yes because if it arrived with enough pressure, would no longer have to fill the buckets",Yes
107,No considera que invierta mucho tiempo.  ,She does not cnsider that she invests a lot of time,No
108,Le gustaria investir menos tiempo en eso,She would like to spend less time on it,Yes
109,Mucho. Deberia hacer siempre. Podia ser 1 hora x dia,A lot. Should always do it. It could be 1 hour a day,Yes
110,NA,,NA
111,"Le parece ""normal"" el tiempo que invierte en adminsitrar el agua",The amount of time spent managing the water seems normal,Somewhat
112,Esta bien,It's okay,No
